FirstName,FullName,Genre,InfluenceToBoy,InfluenceToGirl
Judith,Judith Anderson,Drama,-1,0.149357826274
Judith,Judith Anderson,Romance,-1,0.149357826274
Jack,Jack Carson,Drama,0.0192168294801,-1
Jack,Jack Carson,Romance,0.0192168294801,-1
Brigitte,Brigitte Helm,Drama,-1,0.0
Brigitte,Brigitte Helm,Sci-Fi,-1,0.0
Gustav,Gustav Fröhlich,Drama,-1,-1
Gustav,Gustav Fröhlich,Sci-Fi,-1,-1
Rudolf,Rudolf Klein-Rogge,Drama,-1,-1
Rudolf,Rudolf Klein-Rogge,Sci-Fi,-1,-1
Louise,Louise Brooks,Crime,-1,-76.0732401382
Louise,Louise Brooks,Drama,-1,-76.0732401382
Louise,Louise Brooks,Romance,-1,-76.0732401382
Francis,Francis Lederer,Crime,-55.548133495,-4.62517498778
Francis,Francis Lederer,Drama,-55.548133495,-4.62517498778
Francis,Francis Lederer,Romance,-55.548133495,-4.62517498778
Fritz,Fritz Kortner,Crime,0.0,-1
Fritz,Fritz Kortner,Drama,0.0,-1
Fritz,Fritz Kortner,Romance,0.0,-1
Anita,Anita Page,Musical,-1,-15.4347975096
Anita,Anita Page,Romance,-1,-15.4347975096
Bessie,Bessie Love,Musical,-1,-28.6690301854
Bessie,Bessie Love,Romance,-1,-28.6690301854
Charles,Charles King,Musical,-318.237363998,-2.15357241629
Charles,Charles King,Romance,-318.237363998,-2.15357241629
Ginger,Ginger Rogers,Comedy,-1,-0.0153846153846
Ginger,Ginger Rogers,Musical,-1,-0.0153846153846
Ginger,Ginger Rogers,Romance,-1,-0.0153846153846
Dick,Dick Powell,Comedy,-0.0689791701096,-1
Dick,Dick Powell,Musical,-0.0689791701096,-1
Dick,Dick Powell,Romance,-0.0689791701096,-1
George,George Brent,Comedy,0.196947304688,0.316233955556
George,George Brent,Musical,0.196947304688,0.316233955556
George,George Brent,Romance,0.196947304688,0.316233955556
Mae,Mae West,Comedy,-1,0.112960417159
Mae,Mae West,Drama,-1,0.112960417159
Mae,Mae West,History,-1,0.112960417159
Mae,Mae West,Musical,-1,0.112960417159
Mae,Mae West,Romance,-1,0.112960417159
Gilbert,Gilbert Roland,Comedy,0.178814846489,-1
Gilbert,Gilbert Roland,Drama,0.178814846489,-1
Gilbert,Gilbert Roland,History,0.178814846489,-1
Gilbert,Gilbert Roland,Musical,0.178814846489,-1
Gilbert,Gilbert Roland,Romance,0.178814846489,-1
Louise,Louise Beavers,Comedy,-1,0.144679972171
Louise,Louise Beavers,Drama,-1,0.144679972171
Louise,Louise Beavers,History,-1,0.144679972171
Louise,Louise Beavers,Musical,-1,0.144679972171
Louise,Louise Beavers,Romance,-1,0.144679972171
Gary,Gary Cooper,Drama,0.908167087834,-1
Gary,Gary Cooper,Romance,0.908167087834,-1
Gary,Gary Cooper,War,0.908167087834,-1
Helen,Helen Hayes,Drama,-1,0.0419838441291
Helen,Helen Hayes,Romance,-1,0.0419838441291
Helen,Helen Hayes,War,-1,0.0419838441291
Adolphe,Adolphe Menjou,Drama,-1,-1
Adolphe,Adolphe Menjou,Romance,-1,-1
Adolphe,Adolphe Menjou,War,-1,-1
Jean,Jean Harlow,Drama,-0.440746619225,-0.133886634154
Jean,Jean Harlow,War,-0.440746619225,-0.133886634154
Marian,Marian Marsh,Drama,-1,-0.0515680256606
Marian,Marian Marsh,War,-1,-0.0515680256606
James,James Hall,Drama,-0.0589696942115,-0.380400250286
James,James Hall,War,-0.0589696942115,-0.380400250286
David,David Niven,Adventure,-0.0671005456244,-0.130982425933
David,David Niven,Drama,-0.0671005456244,-0.130982425933
David,David Niven,Romance,-0.0671005456244,-0.130982425933
Mary,Mary Astor,Adventure,0.102994587089,0.0321032108746
Mary,Mary Astor,Drama,0.102994587089,0.0321032108746
Mary,Mary Astor,Romance,0.102994587089,0.0321032108746
Ronald,Ronald Colman,Adventure,-0.125276247815,-1
Ronald,Ronald Colman,Drama,-0.125276247815,-1
Ronald,Ronald Colman,Romance,-0.125276247815,-1
Adriana,Adriana Caselotti,Animation,-1,0.0
Adriana,Adriana Caselotti,Family,-1,0.0
Adriana,Adriana Caselotti,Fantasy,-1,0.0
Adriana,Adriana Caselotti,Musical,-1,0.0
Billy,Billy Gilbert,Animation,0.0546464563234,-0.000873786407767
Billy,Billy Gilbert,Family,0.0546464563234,-0.000873786407767
Billy,Billy Gilbert,Fantasy,0.0546464563234,-0.000873786407767
Billy,Billy Gilbert,Musical,0.0546464563234,-0.000873786407767
Lucille,Lucille La Verne,Animation,-1,-0.0353720926599
Lucille,Lucille La Verne,Family,-1,-0.0353720926599
Lucille,Lucille La Verne,Fantasy,-1,-0.0353720926599
Lucille,Lucille La Verne,Musical,-1,-0.0353720926599
